time,size_product,lead_product,ratio,m,n,lead_A,lead_B
1.807308,7650756,7650756,1.0,2766,2766,2766,2766
4.877309,14645929,14645929,1.0,3827,3827,3827,3827
0.26027,2007889,2007889,1.0,1417,1417,1417,1417
7.76524,20322064,20322064,1.0,4508,4508,4508,4508
1.837526,7579009,7579009,1.0,2753,2753,2753,2753
1.927818,7767369,7767369,1.0,2787,2787,2787,2787
1.975491,8054244,8054244,1.0,2838,2838,2838,2838
1.134651,5560164,5560164,1.0,2358,2358,2358,2358
1.903201,7840000,7840000,1.0,2800,2800,2800,2800
7.454578,19686969,19686969,1.0,4437,4437,4437,4437
8.689704,21818241,21818241,1.0,4671,4671,4671,4671
8.852408,21967969,21967969,1.0,4687,4687,4687,4687
0.220449,1809025,1809025,1.0,1345,1345,1345,1345
3.464206,11607649,11607649,1.0,3407,3407,3407,3407
9.176433,22477081,22477081,1.0,4741,4741,4741,4741
2.711282,9928801,9928801,1.0,3151,3151,3151,3151
9.325285,22553001,22553001,1.0,4749,4749,4749,4749
3.233796,11249316,11249316,1.0,3354,3354,3354,3354
5.031725,15163236,15163236,1.0,3894,3894,3894,3894
7.695238,19936225,19936225,1.0,4465,4465,4465,4465
3.567166,12027024,12027024,1.0,3468,3468,3468,3468
6.285229,17464041,17464041,1.0,4179,4179,4179,4179
0.256755,1825201,1825201,1.0,1351,1351,1351,1351
3.700244,12348196,12348196,1.0,3514,3514,3514,3514
3.031346,10797796,10797796,1.0,3286,3286,3286,3286
2.870329,10381284,10381284,1.0,3222,3222,3222,3222
1.690893,7279204,7279204,1.0,2698,2698,2698,2698
1.286822,5919489,5919489,1.0,2433,2433,2433,2433
0.352289,2146225,2146225,1.0,1465,1465,1465,1465
0.220784,1575025,1575025,1.0,1255,1255,1255,1255
