time,m,n,lead_A,lead_B
1.929914,814,4307,4307,4307
4.304849,2873,3454,3454,3454
1.156927,2399,1942,2399,2399
0.227701,1244,1177,1244,1244
1.024711,4638,1295,4638,4638
3.491178,2893,3094,3094,3094
2.512569,4948,1975,4948,4948
0.100121,1836,626,1836,1836
1.42183,548,4556,4556,4556
0.00155,2271,49,2271,2271
0.121651,4882,402,4882,4882
1.442585,1256,2987,2987,2987
0.009718,236,513,513,513
5.370722,4966,2924,4966,4966
0.855537,4596,1184,4596,4596
6.677804,4282,3528,4282,4282
1.042522,4052,1404,4052,4052
2.317945,4418,2030,4418,4418
2.047011,4510,1865,4510,4510
0.260546,3165,778,3165,3165
0.321663,4220,737,4220,4220
0.064997,151,1727,1727,1727
0.353514,716,1929,1929,1929
0.41545,1363,1534,1534,1534
0.095995,70,3067,3067,3067
0.072316,262,1426,1426,1426
0.041852,3692,272,3692,3692
5.710017,3886,3428,3886,3886
2.031675,1766,2993,2993,2993
6.093144,4183,3385,4183,4183
1.134021,1964,2132,2132,2132
1.472233,820,3788,3788,3788
2.664652,2670,2818,2818,2818
0.750926,1540,1901,1901,1901
3.895158,2806,3315,3315,3315
6.695456,3318,3967,3967,3967
0.09394,4779,352,4779,4779
0.414475,2883,1042,2883,2883
2.546058,953,4638,4638,4638
3.565929,1167,4968,4968,4968
1.051872,1809,2140,2140,2140
8.590911,3993,4146,4146,4146
0.876462,1190,2377,2377,2377
0.346142,2850,953,2850,2850
5.171137,3450,3407,3450,3450
1.107474,3813,1475,3813,3813
0.581093,459,3143,3143,3143
0.411362,1172,1648,1648,1648
5.249576,3582,3417,3582,3582
4.980171,4392,2955,4392,4392
