time,m,n,k,lead_A,lead_B,lead_C
2.018969,648,4284,3575,4284,4284,4284
7.592779,3595,4033,2563,4033,4033,4033
0.218414,736,1409,1021,1409,1409,1409
2.230414,3391,1742,1859,3391,3391,3391
0.297819,255,3841,1461,3841,3841,3841
5.185443,2645,3630,2661,3630,3630,3630
0.890104,2871,1002,1538,2871,2871,2871
9.867134,3893,3092,4068,4068,4068,4068
2.051945,1880,1789,2967,2967,2967,2967
0.486441,879,629,4310,4310,4310,4310
0.238844,132,1815,4617,4617,4617,4617
9.227536,2277,4465,4539,4539,4539,4539
11.011367,4365,3504,3602,4365,4365,4365
1.914269,507,4073,4610,4610,4610,4610
2.239478,2885,832,4655,4655,4655,4655
0.514995,1831,1198,1141,1831,1831,1831
15.535456,4811,3629,4428,4811,4811,4811
3.203876,1607,2929,3373,3373,3373,3373
1.598468,1870,3186,1332,3186,3186,3186
2.914818,2378,1553,3885,3885,3885,3885
1.46313,2541,1522,1870,2541,2541,2541
0.257367,1772,4074,174,4074,4074,4074
11.847038,4037,4936,2977,4936,4936,4936
9.8647,2547,4519,4251,4519,4519,4519
2.58451,2966,1020,4280,4280,4280,4280
0.785183,376,4090,2510,4090,4090,4090
9.628975,3469,3065,4528,4528,4528,4528
2.265038,3434,1332,2470,3434,3434,3434
1.375424,1969,4092,821,4092,4092,4092
0.039779,79,776,2770,2770,2770,2770
1.399072,872,4397,1826,4397,4397,4397
0.896856,1871,1958,1210,1958,1958,1958
3.054075,3914,1583,2435,3914,3914,3914
0.128681,252,675,3596,3596,3596,3596
4.844913,4763,3484,1454,4763,4763,4763
8.069865,3027,2787,4744,4744,4744,4744
4.542865,4593,1686,2910,4593,4593,4593
6.381644,3283,2697,3580,3580,3580,3580
4.383122,1925,3637,3120,3637,3637,3637
0.615192,574,2385,2203,2385,2385,2385
5.621188,2589,3154,3448,3448,3448,3448
0.349294,3030,141,3841,3841,3841,3841
0.246011,1160,217,4664,4664,4664,4664
1.367244,994,2052,3348,3348,3348,3348
5.12814,3298,2141,3569,3569,3569,3569
0.204386,1646,2023,289,2023,2023,2023
0.115335,1520,4537,80,4537,4537,4537
6.027663,3047,3840,2576,3840,3840,3840
0.215866,2322,224,2004,2322,2322,2322
5.778493,4541,1810,3482,4541,4541,4541
